iter	Passed	Remaining
667	4394	61391
668	4401	61391
669	4408	61389
670	4418	61427
671	4426	61444
672	4434	61459
673	4443	61486
674	4448	61459
675	4459	61511
676	4473	61611
677	4484	61659
678	4495	61705
679	4505	61754
680	4512	61755
681	4521	61776
682	4530	61802
683	4536	61785
684	4542	61777
685	4549	61763
686	4556	61767
687	4562	61758
688	4569	61748
689	4576	61743
690	4581	61725
691	4587	61702
692	4593	61684
693	4599	61674
694	4605	61655
695	4611	61645
696	4617	61633
697	4624	61624
698	4630	61609
699	4636	61597
700	4640	61553
701	4645	61530
702	4651	61515
703	4656	61488
704	4662	61469
705	4667	61449
706	4673	61431
707	4679	61413
708	4685	61400
709	4691	61383
710	4696	61361
711	4703	61356
712	4709	61339
713	4714	61318
714	4720	61304
715	4727	61292
716	4733	61279
717	4738	61260
718	4747	61286
719	4753	61264
720	4759	61257
721	4770	61300
722	4782	61363
723	4792	61406
724	4802	61437
725	4812	61471
726	4820	61479
727	4828	61492
728	4839	61549
729	4851	61603
730	4861	61637
731	4869	61653
732	4878	61670
733	4886	61684
734	4891	61663
735	4898	61651
736	4905	61650
737	4911	61643
738	4918	61631
739	4924	61620
740	4929	61600
741	4936	61589
742	4942	61572
743	4947	61552
744	4953	61540
745	4959	61522
746	4966	61520
747	4976	61550
748	4984	61570
749	4993	61586
750	5001	61592
751	5012	61647
752	5021	61671
753	5029	61669
754	5036	61672
755	5043	61668
756	5049	61660
757	5056	61651
758	5061	61630
759	5067	61615
760	5074	61604
761	5081	61603
762	5090	61623
763	5098	61630
764	5105	61635
765	5112	61631
766	5118	61617
767	5124	61601
768	5130	61587
769	5136	61570
770	5141	61547
771	5145	61506
772	5152	61499
773	5157	61481
774	5164	61474
775	5173	61500
776	5182	61521
777	5191	61540
778	5200	61552
779	5207	61552
780	5216	61573
781	5223	61575
782	5232	61594
783	5238	61582
784	5244	61564
785	5250	61545
786	5258	61560
787	5261	61513
788	5270	61531
789	5279	61554
790	5287	61558
791	5296	61574
792	5304	61588
793	5311	61581
794	5315	61542
795	5319	61503
796	5324	61476
797	5327	61434
798	5331	61396
799	5334	61351
800	5338	61308
801	5342	61271
802	5345	61228
803	5350	61192
804	5354	61162
805	5358	61126
806	5366	61132
807	5369	61085
808	5376	61087
809	5385	61097
810	5392	61097
811	5397	61079
812	5406	61097
813	5413	61089
814	5419	61076
815	5425	61068
816	5430	61043
817	5434	61003
818	5438	60964
819	5442	60926
820	5444	60876
821	5450	60853
822	5453	60815
823	5457	60776
824	5461	60737
825	5465	60700
826	5468	60660
827	5472	60620
828	5476	60580
829	5479	60534
830	5483	60498
831	5487	60463
832	5491	60428
833	5494	60390
834	5498	60354
835	5502	60315
836	5506	60277
837	5510	60245
838	5513	60202
839	5517	60165
840	5521	60128
841	5524	60087
842	5528	60051
843	5531	60012
844	5535	59975
845	5538	59933
846	5542	59895
847	5546	59858
848	5550	59824
849	5555	59801
850	5563	59817
851	5570	59815
852	5579	59832
853	5587	59840
854	5594	59843
855	5602	59851
856	5609	59844
857	5617	59854
858	5624	59849
859	5628	59819
860	5632	59789
861	5636	59750
862	5641	59733
863	5645	59701
864	5649	59665
865	5653	59634
866	5657	59596
867	5661	59563
868	5665	59527
869	5669	59496
870	5673	59460
871	5676	59424
872	5680	59388
873	5684	59360
874	5688	59323
875	5695	59326
876	5705	59350
877	5710	59326
878	5716	59321
879	5723	59319
880	5729	59309
881	5737	59314
882	5747	59339
883	5761	59408
884	5771	59438
885	5779	59449
886	5788	59465
887	5794	59457
888	5801	59456
889	5808	59459
890	5819	59493
891	5831	59542
892	5843	59591
893	5855	59639
894	5868	59699
895	5878	59730
896	5888	59755
897	5895	59759
898	5901	59744
899	5908	59738
900	5914	59732
901	5922	59740
902	5930	59742
903	5937	59746
904	5945	59753
905	5952	59752
906	5959	59749
907	5967	59750
908	5975	59763
909	5984	59782
910	5991	59780
911	6000	59790
912	6006	59786
913	6011	59763
914	6017	59751
915	6025	59752
916	6029	59723
917	6035	59711
918	6039	59679
919	6047	59685
920	6053	59675
921	6060	59666
922	6066	59658
923	6071	59634
924	6075	59601
925	6078	59559
926	6081	59524
927	6084	59480
928	6088	59445
929	6091	59411
930	6095	59374
931	6100	59350
932	6104	59320
933	6107	59285
934	6112	59258
935	6119	59260
936	6122	59218
937	6126	59188
938	6130	59155
939	6133	59119
940	6137	59086
941	6141	59050
942	6145	59020
943	6149	58990
944	6153	58961
945	6159	58951
946	6166	58952
947	6175	58969
948	6185	58990
949	6190	58969
950	6197	58966
951	6202	58953
952	6208	58941
953	6216	58942
954	6221	58923
955	6227	58916
956	6233	58900
957	6237	58868
958	6241	58842
959	6245	58814
960	6249	58785
961	6253	58755
962	6257	58723
963	6262	58697
964	6265	58662
965	6269	58631
966	6273	58599
967	6280	58596
968	6284	58571
969	6292	58578
970	6300	58584
971	6305	58566
972	6311	58557
973	6318	58550
974	6324	58539
975	6330	58527
976	6334	58500
977	6340	58492
978	6343	58452
979	6347	58421
980	6352	58401
981	6361	58422
982	6369	58427
983	6377	58438
984	6385	58443
985	6389	58410
986	6396	58413
987	6405	58424
988	6409	58395
989	6415	58388
990	6423	58394
991	6430	58394
992	6440	58415
993	6446	58408
994	6454	58418
995	6462	58423
996	6470	58428
997	6475	58409
998	6479	58378
999	6486	58376
1000	6495	58395
1001	6508	58442
1002	6520	58486
1003	6533	58541
1004	6542	58559
1005	6551	58570
1006	6559	58578
1007	6567	58586
1008	6574	58588
1009	6585	58620
1010	6599	58680
1011	6612	58725
1012	6622	58755
1013	6630	58761
1014	6638	58768
1015	6647	58779
1016	6655	58787
1017	6662	58785
1018	6670	58793
1019	6679	58803
1020	6683	58778
1021	6691	58778
1022	6699	58785
1023	6705	58773
1024	6708	58736
1025	6714	58726
1026	6721	58722
1027	6728	58723
1028	6735	58720
1029	6739	58694
1030	6745	58677
1031	6756	58717
1032	6765	58728
1033	6773	58737
1034	6781	58739
1035	6787	58725
1036	6792	58712
1037	6799	58702
1038	6806	58705
1039	6813	58703
1040	6819	58685
1041	6827	58693
1042	6834	58694
1043	6843	58703
1044	6849	58700
1045	6856	58693
1046	6862	58685
1047	6871	58695
1048	6878	58695
1049	6885	58686
